,City,City Temperature,City Latitude,City Cloudiness,City Humidity,City Wind
0,Chunskiy,37.15,56.08,64,90,6.22
1,Nuuk,33.8,64.17,88,86,1.12
2,Ushuaia,41.0,-54.81,0,44,3.36
3,Ribeira Grande,74.86,38.52,88,96,25.57
4,Taoudenni,85.66,22.68,48,25,7.23
5,Praia da Vitoria,73.4,38.73,75,94,21.32
6,Umba,44.89,66.69,92,100,3.76
7,Chuy,60.28,-33.69,88,96,9.35
8,Skibotn,39.2,69.39,75,80,2.24
9,Luanda,71.6,-8.83,40,88,5.82
10,Port Alfred,63.16,-33.59,0,94,13.49
11,Santa Barbara,72.7,34.42,1,73,11.41
12,Mana,32.95,43.52,0,84,2.24
13,Rikitea,71.26,-23.12,64,100,23.33
14,Vaini,71.98,15.34,88,99,1.07
15,Punta Arenas,37.4,-53.16,0,74,6.93
16,Belmonte,66.4,40.36,12,70,6.55
17,New Norfolk,55.4,-42.78,0,50,9.17
18,Dikson,39.76,73.51,92,96,21.54
19,Nikolskoye,48.2,59.7,75,70,11.18
20,Aden,82.06,12.79,0,100,13.15
21,Vestmannaeyjar,40.93,63.44,88,100,7.9
22,Salinopolis,81.07,-0.61,92,95,17.52
23,Cidreira,68.02,-30.17,88,97,4.43
24,Canon City,72.97,39.46,0,6,3.76
25,Ostrovnoy,39.04,68.05,92,98,13.15
26,Tuim,52.72,54.34,92,94,8.57
27,Luderitz,53.17,-26.65,0,84,13.49
28,Atuona,79.0,-9.8,0,100,9.91
29,Pangnirtung,27.88,66.15,8,83,5.21
30,Salamiyah,56.41,35.01,0,89,4.21
31,Moree,67.66,-29.46,0,79,6.22
32,Barrow,47.23,-38.31,88,72,10.8
33,Ilo,57.94,-17.65,8,95,2.75
34,Albany,67.39,42.65,90,90,5.82
35,Mabaruma,79.99,8.2,12,95,5.21
36,Tasiilaq,35.6,65.61,0,69,3.36
37,Jamestown,61.0,-33.21,0,61,6.44
38,Matay,70.0,28.42,0,68,10.47
39,Busselton,55.42,-33.64,44,100,8.79
40,San Andres,83.95,13.32,44,98,10.69
41,Victor Harbor,57.2,-35.55,75,71,13.87
42,Butaritari,83.59,3.07,0,100,4.88
